t,solved_x,solved_y,solved_z,clock_bias_m,n_satellites_used,converged,mean_abs_residual_m,confidence,kalman_x,kalman_y,kalman_z,raw_x,raw_y,raw_z,raw_error_m,kalman_error_m
0.0,1137300.6903226082,5162901.822041533,3562422.7498031813,12.489055005253896,6,True,1.1546554006636143,1.0,1137299.6699853984,5162896.441760896,3562427.113300258,1137300.6903226082,5162901.822041533,3562422.7498031813,14.730942924697043,7.728899330598045
30.0,1137298.5126105407,5162887.431240796,3562439.229717228,0.0371631696338984,6,True,0.9042792692780495,1.0,1137299.2233203992,5162892.964336163,3562431.789381946,1137298.5126105407,5162887.431240796,3562439.229717228,7.919971724064236,2.5573134923193006
60.0,1137298.5522948606,5162896.026085186,3562429.177351322,6.552016866687815,6,True,1.0460192784667015,0.9999432822320388,1137299.0060384981,5162893.95574798,3562430.943591515,1137298.5522948606,5162896.026085186,3562429.177351322,6.170945109032318,3.6204831989334028
90.0,1137302.4851724848,5162906.14076272,3562424.1004108214,17.832559095446452,6,True,0.9170261807739735,0.99994546878034,1137300.0448291253,5162897.593917465,3562428.900372716,1137302.4851724848,5162906.14076272,3562424.1004108214,17.92690850497633,7.855694802534988
120.0,1137299.9948545075,5162887.6625838345,3562439.3965413673,0.1635289805132072,6,True,1.11354490245382,0.9999568438020375,1137300.0305006304,5162894.746450702,3562431.909786405,1137299.9948545075,5162887.6625838345,3562439.3965413673,8.119511383611727,4.496440921626272
150.0,1137297.2383182356,5162892.409123043,3562428.468867176,4.671635493058966,6,True,0.7595287921528021,0.9999719686035698,1137299.2455055234,5162894.08933361,3562430.9424052043,1137297.2383182356,5162892.409123043,3562428.468867176,4.161160381584648,3.785409665015415
180.0,1137298.3462731347,5162889.203902128,3562437.917626988,0.7536365121031322,6,True,0.29685550183057785,0.9999779766505972,1137298.9956732702,5162892.73202223,3562432.8803195814,1137298.3462731347,5162889.203902128,3562437.917626988,6.130349185408535,2.4650520761136225
210.0,1137299.1743079699,5162890.015722007,3562428.9007928977,3.8312484670895106,6,True,2.2420288249850273,0.9998996432686625,1137299.0438397836,5162891.999607354,3562431.807292192,1137299.1743079699,5162890.015722007,3562428.9007928977,3.1320370620796263,1.5827251086059968
240.0,1137298.8073191177,5162893.261296205,3562428.9932642775,5.868955502412313,6,True,1.062494038293759,0.9999701206900948,1137298.9787369084,5162892.346890208,3562431.0327243223,1137298.8073191177,5162893.261296205,3562428.9932642775,4.037425297104826,2.0961687976823034
270.0,1137296.1708975236,5162877.210031902,3562435.5677038417,-8.943534517036763,6,True,0.6065982518096765,0.9999239398349907,1137298.2188831028,5162888.250573498,3562432.2599745225,1137296.1708975236,5162877.210031902,3562435.5677038417,13.984538084388127,2.299538419647241
