satellite_id,type,t,x,y,z,azimuth_deg,elevation_deg,mask_angle_deg,visible,visibility_reason,true_range_m,pseudorange_m,cn0_db_hz,doppler_hz,is_spoofed,attack_type,pr_delta,pr_roll_mean,pr_roll_std,pr_zscore,cn0_delta,cn0_roll_slope,residual_m,constellation_median_residual,spatial_deviation,temporal_prob
IRNSS-1C,GEO,0.0,5138498.995334639,41849715.9378047,0.0,170.39428138850374,49.903315596836336,9.18297838042972,True,visible,37075917.88201372,37075916.699084215,48.32200434671273,,False,none,,,,0.0,,,-1.1829295083880424,2.8564541153609753,4.039383623749018,
IRNSS-1E,GEO,0.0,-15624183.795164736,39162325.98729181,0.0,129.55929660317395,36.21284260924154,5.55655627277919,True,visible,38073610.60765796,38073613.95457388,47.231839396300316,,False,none,,,,0.0,,,3.346915915608406,2.8564541153609753,0.4904618002474308,
IRNSS-1F,GEO,0.0,35560756.921254516,22654700.686335478,0.0,240.78499060944608,28.10069597736304,24.585025354121978,True,visible,38776653.17448127,38776656.732662246,46.495747380738614,,False,none,,,,0.0,,,3.5581809729337692,2.8564541153609753,0.701726857572794,
IRNSS-1B,GSO,0.0,24184276.862305507,34538726.79540105,0.0,216.5498054828961,43.55348704632834,20.17207911249728,True,visible,37507251.148951046,37507255.16628615,48.13115706797202,,False,none,,,,0.0,,,4.0173351019620895,2.8564541153609753,1.1608809866011143,
IRNSS-1D,GSO,0.0,3595130.9629415534,40748178.70389174,-10220756.414033286,170.44325409621592,34.1354030286399,9.191036679042796,True,visible,38240423.08165119,38240421.06221509,46.492105916014054,,False,none,,,,0.0,,,-2.0194360986351967,2.8564541153609753,4.875890213996172,
IRNSS-1G,GSO,0.0,5840072.577532152,40487437.392531455,10220756.414033277,168.2263906681242,66.01841924200582,8.836805539239178,True,visible,36252903.07690543,36252905.442897744,48.661775823257685,,False,none,,,,0.0,,,2.3659923151135445,2.8564541153609753,0.4904618002474308,
IRNSS-1I,GSO,0.0,34252142.08590271,13665219.055219067,-20441512.828066554,226.92608732175614,-0.9726997947949803,22.536319647431466,False,below_min_elevation,41774056.752599746,,,,False,none,,,,,,,,,,
IRNSS-1C,GEO,30.0,5138498.425414786,41849716.00778205,0.0,170.39428002400336,49.903315474887194,9.182978156052629,True,visible,37075917.88975145,37075920.61709685,47.649653745107074,-3.6385276882067137,False,none,3.9102749079465866,0.7722079455852509,2.764981903712634,0.7071067811865476,-0.6723506016056575,,2.727345399558544,2.7783393003046513,0.0509939007461071,
IRNSS-1E,GEO,30.0,-15624184.328487042,39162325.77451778,0.0,129.55929577848985,36.21284206207545,5.556556245480302,True,visible,38073610.65244162,38073613.54324537,47.21216275041924,-0.9141103509573589,False,none,-0.45611216872930527,3.1188598312437534,0.3225200074901945,-0.7071067811865476,-0.019676645881077093,,2.890803746879101,2.7783393003046513,0.11246444657444954,
IRNSS-1F,GEO,30.0,35560756.61273716,22654701.170610715,0.0,240.78498994425772,28.10069658466564,24.5850252948377,True,visible,38776653.11905143,38776655.59762949,46.35200446178366,-0.15124906571916324,False,none,-1.079602912068367,3.0183795168995857,0.7633945401122862,-0.7071067811865476,-0.14374291895495617,,2.478578060865402,2.7783393003046513,0.29976123943924904,
IRNSS-1B,GSO,30.0,24193735.407142915,34532072.96525884,44718.8014032242,216.61753125615283,43.60389956934329,20.189044958581732,True,visible,37503632.690619335,37503634.73708726,47.076886998284564,466.8369120675575,False,none,-1.9708671793341637,3.0319015122950077,1.3936135473251905,-0.7071067811865476,-1.0542700696874547,,2.046467922627926,2.7783393003046513,0.7318713776767254,
IRNSS-1D,GSO,30.0,3602310.123370773,40757245.31198251,-10182004.338731116,170.44440516166577,34.195518320972546,9.191226209993712,True,visible,38235375.04322227,38235381.77703618,46.05818278608852,660.2352840960882,False,none,8.753250010311604,2.357188906520605,6.189482439712552,0.7071067811865476,-0.4339231299255317,,6.733813911676407,2.7783393003046513,3.9554746113717556,
IRNSS-1G,GSO,30.0,5844936.693872418,40476945.293306895,10259459.57481507,168.2235477634857,66.08213292505022,8.836365082925154,True,visible,36250441.403740466,36250444.23307367,49.21135708299374,323.1202865080148,False,none,0.4633408859372139,2.5976627580821514,0.3276314824471866,0.7071067811865475,0.5495812597360583,,2.8293332010507584,2.7783393003046513,0.0509939007461071,
IRNSS-1I,GSO,30.0,34247879.88694769,13675970.61712233,-20441463.913546175,226.91467048659587,-0.9618116846065203,22.53403794200358,False,below_min_elevation,41772839.80736491,,,,False,none,,,,,,,,,,
IRNSS-1C,GEO,60.0,5138497.855494933,41849716.0777594,0.0,170.394278659503,49.90331535293804,9.182977931675548,True,visible,37075917.89748919,37075916.0386627,48.544871387522385,-3.0031310191510845,False,none,-4.586171887814999,-0.10480353236198425,2.4758856720944835,-0.7084426295058482,0.8952176424153109,0.003714450680161107,-1.8588264882564545,2.185861125588417,4.0446876138448715,0.01237692268166623
IRNSS-1E,GEO,60.0,-15624184.861809347,39162325.56174375,0.0,129.55929495380576,36.21284151490937,5.556556218181416,True,visible,38073610.69722529,38073612.05606778,47.72254379975863,-2.8308588254868785,False,none,-1.5319612547755241,2.5321873848636947,1.0414236676974589,-1.1266739264283585,0.5103810493393937,0.008178406724305419,1.3588424921035767,2.185861125588417,0.8270186334848404,0.008704444712729442
IRNSS-1F,GEO,60.0,35560756.30421979,22654701.654885955,0.0,240.78498927906935,28.10069719196825,24.585025235553417,True,visible,38776653.063621596,38776656.413307,46.33868741210032,0.2840740855685254,False,none,0.8711073473095894,3.128814813991388,0.572689686014938,0.38567237995943693,-0.013317049683337245,-0.0026176661439712293,3.3496854081749916,2.185861125588417,1.1638242825865746,0.0
IRNSS-1B,GSO,60.0,24203164.747798193,34525377.81320322,89437.38879110219,216.68538315132406,43.654273254462154,20.206026884811052,True,visible,37500020.478246406,37500023.18588819,46.602008951791746,469.8507724020305,False,none,0.661173865199089,2.9238149374723434,1.003059062376108,-0.21551387924579862,-0.47487804649281884,-0.025485801936337735,2.707641787827015,2.185861125588417,0.5217806622385979,0.011702424559567416
IRNSS-1D,GSO,60.0,3609528.8835876505,40766280.42020665,-10143203.53436834,170.44562354445455,34.25571079606932,9.19142683156378,True,visible,38230324.87342069,38230326.53750116,47.37757964770913,661.70916259182,False,none,-5.069733448326588,2.12615275879701,4.39488106100949,-0.10513874870166663,1.3193968616206107,0.014757895528251512,1.6640804633498192,2.185861125588417,0.5217806622385979,0.015197730874253244
IRNSS-1G,GSO,60.0,5849754.857692362,40466432.01034665,10298113.635850808,168.2205546351366,66.14577622581903,8.835901390279286,True,visible,36247988.847929664,36247991.68579102,48.21940644537352,321.5650322351684,False,none,0.008528158068656921,2.677728958427906,0.270005524866974,0.5930708298298826,-0.9919506376202207,-0.007372822964735739,2.8378613591194153,2.185861125588417,0.6520002335309982,0.010330078267866288
IRNSS-1I,GSO,60.0,34243664.76757121,13686740.723514363,-20441317.17021914,226.90335763074228,-0.9508158467823793,22.531776197033956,False,below_min_elevation,41771610.90960923,,,,False,none,,,,,,,,,,
IRNSS-1C,GEO,90.0,5138497.285575078,41849716.14773674,0.0,170.3942772950026,49.903315230988866,9.182977707298473,True,visible,37075917.90522693,37075917.83560332,48.63992813920659,-1.4730279522875986,False,none,1.7892028763890266,-0.09600855223834515,2.0216287115978218,0.013051328475674261,0.09505675168420424,0.0061632967329898905,-0.06962361186742783,2.909478470683098,2.9791020825505257,0.0020146048109965634
IRNSS-1E,GEO,90.0,-15624185.395131648,39162325.34896971,0.0,129.5592941291217,36.21284096774328,5.5565561908825325,True,visible,38073610.74200896,38073615.08392977,47.85778983656862,-0.5780843889639476,False,none,2.9830783158540726,2.984620740637183,1.241702837273392,1.093095728363567,0.13524603680998837,0.007960774567147865,4.341920807957649,2.909478470683098,1.4324423372745514,0.023910068426197455
IRNSS-1F,GEO,90.0,35560755.99570242,22654702.13916119,0.0,240.78498861388096,28.10069779927085,24.585025176269124,True,visible,38776653.00819176,38776659.86498564,47.168118083659216,0.9669875824440316,False,none,3.507108472287655,4.060809580609202,1.9217455513995356,1.454919095723798,0.8294306715588959,0.006679316863595164,6.8567938804626465,2.909478470683098,3.9473154097795486,0.030024091886517203
