t,attack_bias_m,clean_x_m,clean_y_m,clean_z_m,clean_clock_bias_m,clean_position_error_m,clean_mean_abs_residual_m,clean_max_abs_residual_m,attacked_x_m,attacked_y_m,attacked_z_m,attacked_clock_bias_m,attacked_position_error_m,attacked_mean_abs_residual_m,attacked_max_abs_residual_m,delta_x_m,delta_y_m,delta_z_m,delta_position_m,delta_clock_bias_m,delta_mean_abs_residual_m,delta_max_abs_residual_m,n_satellites,clean_converged,attacked_converged
0.0,0.0,-2693895.8551825406,-4297490.883263739,3854201.517656923,15.710185307576896,38.4686594697414,6.398881737674985,13.847241826355457,-2693895.8551825406,-4297490.883263739,3854201.517656923,15.710185307576896,38.4686594697414,6.398881737674985,13.847241826355457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
0.0,10.0,-2693895.8551825406,-4297490.883263739,3854201.517656923,15.710185307576896,38.4686594697414,6.398881737674985,13.847241826355457,-2693895.8551825406,-4297490.883263739,3854201.517656923,25.7101853075769,38.4686594697414,6.398881737674985,13.847241826355457,0.0,0.0,0.0,0.0,10.000000000000004,0.0,0.0,7,True,True
0.0,50.0,-2693895.8551825406,-4297490.883263739,3854201.517656923,15.710185307576896,38.4686594697414,6.398881737674985,13.847241826355457,-2693895.8551825406,-4297490.883263739,3854201.517656923,65.71018530757691,38.4686594697414,6.398881737674985,13.847241826355457,0.0,0.0,0.0,0.0,50.000000000000014,0.0,0.0,7,True,True
0.0,100.0,-2693895.8551825406,-4297490.883263739,3854201.517656923,15.710185307576896,38.4686594697414,6.398881737674985,13.847241826355457,-2693895.8551825406,-4297490.883263739,3854201.517656923,115.71018530757692,38.4686594697414,6.398881737674985,13.847241826355457,0.0,0.0,0.0,0.0,100.00000000000003,0.0,0.0,7,True,True
0.0,500.0,-2693895.8551825406,-4297490.883263739,3854201.517656923,15.710185307576896,38.4686594697414,6.398881737674985,13.847241826355457,-2693895.8551825406,-4297490.883263739,3854201.517656923,515.7101853075768,38.4686594697414,6.398881737674985,13.847241826355457,0.0,0.0,0.0,0.0,499.9999999999999,0.0,0.0,7,True,True
0.0,1000.0,-2693895.8551825406,-4297490.883263739,3854201.517656923,15.710185307576896,38.4686594697414,6.398881737674985,13.847241826355457,-2693895.8551825406,-4297490.883263739,3854201.517656923,1015.7101853075769,38.4686594697414,6.398881737674985,13.847241826355457,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,7,True,True
1.0,0.0,-2693888.5108752074,-4297477.185162245,3854211.0027784677,12.850333590317302,38.36130473431672,1.1072288155555725,1.7062267139554024,-2693888.5108752074,-4297477.185162245,3854211.0027784677,12.850333590317302,38.36130473431672,1.1072288155555725,1.7062267139554024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
1.0,10.0,-2693888.5108752074,-4297477.185162245,3854211.0027784677,12.850333590317302,38.36130473431672,1.1072288155555725,1.7062267139554024,-2693888.5108752074,-4297477.185162245,3854211.0027784677,22.850333590317298,38.36130473431672,1.1072288155555725,1.7062267139554024,0.0,0.0,0.0,0.0,9.999999999999996,0.0,0.0,7,True,True
1.0,50.0,-2693888.5108752074,-4297477.185162245,3854211.0027784677,12.850333590317302,38.36130473431672,1.1072288155555725,1.7062267139554024,-2693888.5108752074,-4297477.185162245,3854211.0027784677,62.8503335903173,38.36130473431672,1.1072288155555725,1.7062267139554024,0.0,0.0,0.0,0.0,50.0,0.0,0.0,7,True,True
1.0,100.0,-2693888.5108752074,-4297477.185162245,3854211.0027784677,12.850333590317302,38.36130473431672,1.1072288155555725,1.7062267139554024,-2693888.5108752074,-4297477.185162245,3854211.0027784677,112.85033359031723,38.36130473431672,1.1072288155555725,1.7062267139554024,0.0,0.0,0.0,0.0,99.99999999999993,0.0,0.0,7,True,True
1.0,500.0,-2693888.5108752074,-4297477.185162245,3854211.0027784677,12.850333590317302,38.36130473431672,1.1072288155555725,1.7062267139554024,-2693888.5108752074,-4297477.185162245,3854211.0027784677,512.850333590317,38.36130473431672,1.1072288155555725,1.7062267139554024,0.0,0.0,0.0,0.0,499.99999999999966,0.0,0.0,7,True,True
1.0,1000.0,-2693888.5108752074,-4297477.185162245,3854211.0027784677,12.850333590317302,38.36130473431672,1.1072288155555725,1.7062267139554024,-2693888.5108752074,-4297477.185162245,3854211.0027784677,1012.8503335903171,38.36130473431672,1.1072288155555725,1.7062267139554024,0.0,0.0,0.0,0.0,999.9999999999998,0.0,0.0,7,True,True
2.0,0.0,-2693891.7093808046,-4297482.415723405,3854204.4217243083,15.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,-2693891.7093808046,-4297482.415723405,3854204.4217243083,15.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,True,True
2.0,10.0,-2693891.7093808046,-4297482.415723405,3854204.4217243083,15.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,-2693891.7093808046,-4297482.415723405,3854204.4217243083,25.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6,True,True
2.0,50.0,-2693891.7093808046,-4297482.415723405,3854204.4217243083,15.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,-2693891.7093808046,-4297482.415723405,3854204.4217243083,65.40324941997925,37.97122596635847,2.0611474936207137,4.204764377325773,0.0,0.0,0.0,0.0,50.00000000000001,0.0,0.0,6,True,True
2.0,100.0,-2693891.7093808046,-4297482.415723405,3854204.4217243083,15.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,-2693891.7093808046,-4297482.415723405,3854204.4217243083,115.40324941997918,37.97122596635847,2.0611474936207137,4.204764377325773,0.0,0.0,0.0,0.0,99.99999999999994,0.0,0.0,6,True,True
2.0,500.0,-2693891.7093808046,-4297482.415723405,3854204.4217243083,15.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,-2693891.7093808046,-4297482.415723405,3854204.4217243083,515.4032494199789,37.97122596635847,2.0611474936207137,4.204764377325773,0.0,0.0,0.0,0.0,499.99999999999966,0.0,0.0,6,True,True
2.0,1000.0,-2693891.7093808046,-4297482.415723405,3854204.4217243083,15.40324941997924,37.97122596635847,2.0611474936207137,4.204764377325773,-2693891.7093808046,-4297482.415723405,3854204.4217243083,1015.4032494199789,37.97122596635847,2.0611474936207137,4.204764377325773,0.0,0.0,0.0,0.0,999.9999999999997,0.0,0.0,6,True,True
3.0,0.0,-2693902.08816616,-4297511.452913182,3854202.21176591,23.295688586061242,47.380460345491414,10.244193027727306,23.995861295610666,-2693902.08816616,-4297511.452913182,3854202.21176591,23.295688586061242,47.380460345491414,10.244193027727306,23.995861295610666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True,True
3.0,10.0,-2693902.08816616,-4297511.452913182,3854202.21176591,23.295688586061242,47.380460345491414,10.244193027727306,23.995861295610666,-2693902.08816616,-4297511.452913182,3854202.21176591,33.29568858606123,47.380460345491414,10.244193027727306,23.995861295610666,0.0,0.0,0.0,0.0,9.99999999999999,0.0,0.0,8,True,True
3.0,50.0,-2693902.08816616,-4297511.452913182,3854202.21176591,23.295688586061242,47.380460345491414,10.244193027727306,23.995861295610666,-2693902.08816616,-4297511.452913182,3854202.21176591,73.29568858606125,47.380460345491414,10.244193027727306,23.995861295610666,0.0,0.0,0.0,0.0,50.0,0.0,0.0,8,True,True
3.0,100.0,-2693902.08816616,-4297511.452913182,3854202.21176591,23.295688586061242,47.380460345491414,10.244193027727306,23.995861295610666,-2693902.08816616,-4297511.452913182,3854202.21176591,123.2956885860612,47.380460345491414,10.244193027727306,23.995861295610666,0.0,0.0,0.0,0.0,99.99999999999996,0.0,0.0,8,True,True
3.0,500.0,-2693902.08816616,-4297511.452913182,3854202.21176591,23.295688586061242,47.380460345491414,10.244193027727306,23.995861295610666,-2693902.08816616,-4297511.452913182,3854202.21176591,523.295688586061,47.380460345491414,10.244193027727306,23.995861295610666,0.0,0.0,0.0,0.0,499.9999999999998,0.0,0.0,8,True,True
3.0,1000.0,-2693902.08816616,-4297511.452913182,3854202.21176591,23.295688586061242,47.380460345491414,10.244193027727306,23.995861295610666,-2693902.08816616,-4297511.452913182,3854202.21176591,1023.2956885860607,47.380460345491414,10.244193027727306,23.995861295610666,0.0,0.0,0.0,0.0,999.9999999999994,0.0,0.0,8,True,True
4.0,0.0,-2693899.7173517155,-4297485.319925899,3854202.3792831833,19.83072499153406,32.78193802047669,5.583549476627793,9.37056852504611,-2693899.7173517155,-4297485.319925899,3854202.3792831833,19.83072499153406,32.78193802047669,5.583549476627793,9.37056852504611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
4.0,10.0,-2693899.7173517155,-4297485.319925899,3854202.3792831833,19.83072499153406,32.78193802047669,5.583549476627793,9.37056852504611,-2693899.7173517155,-4297485.319925899,3854202.3792831833,29.830724991534066,32.78193802047669,5.583549476627793,9.37056852504611,0.0,0.0,0.0,0.0,10.000000000000007,0.0,0.0,7,True,True
4.0,50.0,-2693899.7173517155,-4297485.319925899,3854202.3792831833,19.83072499153406,32.78193802047669,5.583549476627793,9.37056852504611,-2693899.7173517155,-4297485.319925899,3854202.3792831833,69.83072499153407,32.78193802047669,5.583549476627793,9.37056852504611,0.0,0.0,0.0,0.0,50.000000000000014,0.0,0.0,7,True,True
4.0,100.0,-2693899.7173517155,-4297485.319925899,3854202.3792831833,19.83072499153406,32.78193802047669,5.583549476627793,9.37056852504611,-2693899.7173517155,-4297485.319925899,3854202.3792831833,119.83072499153408,32.78193802047669,5.583549476627793,9.37056852504611,0.0,0.0,0.0,0.0,100.00000000000003,0.0,0.0,7,True,True
4.0,500.0,-2693899.7173517155,-4297485.319925899,3854202.3792831833,19.83072499153406,32.78193802047669,5.583549476627793,9.37056852504611,-2693899.7173517155,-4297485.319925899,3854202.3792831833,519.8307249915342,32.78193802047669,5.583549476627793,9.37056852504611,0.0,0.0,0.0,0.0,500.00000000000017,0.0,0.0,7,True,True
4.0,1000.0,-2693899.7173517155,-4297485.319925899,3854202.3792831833,19.83072499153406,32.78193802047669,5.583549476627793,9.37056852504611,-2693899.7173517155,-4297485.319925899,3854202.3792831833,1019.8307249915334,32.78193802047669,5.583549476627793,9.37056852504611,0.0,0.0,0.0,0.0,999.9999999999993,0.0,0.0,7,True,True
5.0,0.0,-2693900.431294256,-4297486.534399346,3854192.3688813047,14.298298605965641,38.51159575809379,3.5861508904823234,6.777882311493158,-2693900.431294256,-4297486.534399346,3854192.3688813047,14.298298605965641,38.51159575809379,3.5861508904823234,6.777882311493158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
5.0,10.0,-2693900.431294256,-4297486.534399346,3854192.3688813047,14.298298605965641,38.51159575809379,3.5861508904823234,6.777882311493158,-2693900.431294256,-4297486.534399346,3854192.3688813047,24.298298605965662,38.51159575809379,3.5861508904823234,6.777882311493158,0.0,0.0,0.0,0.0,10.000000000000021,0.0,0.0,7,True,True
5.0,50.0,-2693900.431294256,-4297486.534399346,3854192.3688813047,14.298298605965641,38.51159575809379,3.5861508904823234,6.777882311493158,-2693900.431294256,-4297486.534399346,3854192.3688813047,64.29829860596564,38.51159575809379,3.5861508904823234,6.777882311493158,0.0,0.0,0.0,0.0,50.0,0.0,0.0,7,True,True
5.0,100.0,-2693900.431294256,-4297486.534399346,3854192.3688813047,14.298298605965641,38.51159575809379,3.5861508904823234,6.777882311493158,-2693900.431294256,-4297486.534399346,3854192.3688813047,114.29829860596561,38.51159575809379,3.5861508904823234,6.777882311493158,0.0,0.0,0.0,0.0,99.99999999999997,0.0,0.0,7,True,True
5.0,500.0,-2693900.431294256,-4297486.534399346,3854192.3688813047,14.298298605965641,38.51159575809379,3.5861508904823234,6.777882311493158,-2693900.431294256,-4297486.534399346,3854192.3688813047,514.2982986059658,38.51159575809379,3.5861508904823234,6.777882311493158,0.0,0.0,0.0,0.0,500.0000000000001,0.0,0.0,7,True,True
5.0,1000.0,-2693900.431294256,-4297486.534399346,3854192.3688813047,14.298298605965641,38.51159575809379,3.5861508904823234,6.777882311493158,-2693900.431294256,-4297486.534399346,3854192.3688813047,1014.2982986059652,38.51159575809379,3.5861508904823234,6.777882311493158,0.0,0.0,0.0,0.0,999.9999999999995,0.0,0.0,7,True,True
6.0,0.0,-2693911.438946865,-4297524.233203357,3854214.1364893354,43.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,-2693911.438946865,-4297524.233203357,3854214.1364893354,43.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,True,True
6.0,10.0,-2693911.438946865,-4297524.233203357,3854214.1364893354,43.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,-2693911.438946865,-4297524.233203357,3854214.1364893354,53.96134512504825,52.64446505053754,7.620859134476632,13.221628151834011,0.0,0.0,0.0,0.0,9.999999999999979,0.0,0.0,8,True,True
6.0,50.0,-2693911.438946865,-4297524.233203357,3854214.1364893354,43.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,-2693911.438946865,-4297524.233203357,3854214.1364893354,93.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,0.0,0.0,0.0,0.0,50.0,0.0,0.0,8,True,True
6.0,100.0,-2693911.438946865,-4297524.233203357,3854214.1364893354,43.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,-2693911.438946865,-4297524.233203357,3854214.1364893354,143.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,0.0,0.0,0.0,0.0,100.0,0.0,0.0,8,True,True
6.0,500.0,-2693911.438946865,-4297524.233203357,3854214.1364893354,43.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,-2693911.438946865,-4297524.233203357,3854214.1364893354,543.9613451250481,52.64446505053754,7.620859134476632,13.221628151834011,0.0,0.0,0.0,0.0,499.9999999999998,0.0,0.0,8,True,True
6.0,1000.0,-2693911.438946865,-4297524.233203357,3854214.1364893354,43.96134512504827,52.64446505053754,7.620859134476632,13.221628151834011,-2693911.438946865,-4297524.233203357,3854214.1364893354,1043.961345125048,52.64446505053754,7.620859134476632,13.221628151834011,0.0,0.0,0.0,0.0,999.9999999999997,0.0,0.0,8,True,True
7.0,0.0,-2693909.0108892396,-4297498.439688735,3854205.932667751,28.884270330621934,32.3429325148547,2.9664595254829953,6.119929015636444,-2693909.0108892396,-4297498.439688735,3854205.932667751,28.884270330621934,32.3429325148547,2.9664595254829953,6.119929015636444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
7.0,10.0,-2693909.0108892396,-4297498.439688735,3854205.932667751,28.884270330621934,32.3429325148547,2.9664595254829953,6.119929015636444,-2693909.0108892396,-4297498.439688735,3854205.932667751,38.88427033062196,32.3429325148547,2.9664595254829953,6.119929015636444,0.0,0.0,0.0,0.0,10.000000000000025,0.0,0.0,7,True,True
7.0,50.0,-2693909.0108892396,-4297498.439688735,3854205.932667751,28.884270330621934,32.3429325148547,2.9664595254829953,6.119929015636444,-2693909.0108892396,-4297498.439688735,3854205.932667751,78.88427033062193,32.3429325148547,2.9664595254829953,6.119929015636444,0.0,0.0,0.0,0.0,50.0,0.0,0.0,7,True,True
7.0,100.0,-2693909.0108892396,-4297498.439688735,3854205.932667751,28.884270330621934,32.3429325148547,2.9664595254829953,6.119929015636444,-2693909.0108892396,-4297498.439688735,3854205.932667751,128.88427033062194,32.3429325148547,2.9664595254829953,6.119929015636444,0.0,0.0,0.0,0.0,100.00000000000001,0.0,0.0,7,True,True
7.0,500.0,-2693909.0108892396,-4297498.439688735,3854205.932667751,28.884270330621934,32.3429325148547,2.9664595254829953,6.119929015636444,-2693909.0108892396,-4297498.439688735,3854205.932667751,528.884270330622,32.3429325148547,2.9664595254829953,6.119929015636444,0.0,0.0,0.0,0.0,500.0000000000001,0.0,0.0,7,True,True
7.0,1000.0,-2693909.0108892396,-4297498.439688735,3854205.932667751,28.884270330621934,32.3429325148547,2.9664595254829953,6.119929015636444,-2693909.0108892396,-4297498.439688735,3854205.932667751,1028.8842703306218,32.3429325148547,2.9664595254829953,6.119929015636444,0.0,0.0,0.0,0.0,999.9999999999999,0.0,0.0,7,True,True
8.0,0.0,-2693900.154489586,-4297495.844753102,3854229.3245397764,41.002127275915726,35.78175907444994,7.957362502813339,13.239811480045319,-2693900.154489586,-4297495.844753102,3854229.3245397764,41.002127275915726,35.78175907444994,7.957362502813339,13.239811480045319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
8.0,10.0,-2693900.154489586,-4297495.844753102,3854229.3245397764,41.002127275915726,35.78175907444994,7.957362502813339,13.239811480045319,-2693900.154489586,-4297495.844753102,3854229.3245397764,51.00212727591574,35.78175907444994,7.957362502813339,13.239811480045319,0.0,0.0,0.0,0.0,10.000000000000014,0.0,0.0,7,True,True
8.0,50.0,-2693900.154489586,-4297495.844753102,3854229.3245397764,41.002127275915726,35.78175907444994,7.957362502813339,13.239811480045319,-2693900.154489586,-4297495.844753102,3854229.3245397764,91.00212727591568,35.78175907444994,7.957362502813339,13.239811480045319,0.0,0.0,0.0,0.0,49.99999999999996,0.0,0.0,7,True,True
8.0,100.0,-2693900.154489586,-4297495.844753102,3854229.3245397764,41.002127275915726,35.78175907444994,7.957362502813339,13.239811480045319,-2693900.154489586,-4297495.844753102,3854229.3245397764,141.00212727591574,35.78175907444994,7.957362502813339,13.239811480045319,0.0,0.0,0.0,0.0,100.00000000000001,0.0,0.0,7,True,True
8.0,500.0,-2693900.154489586,-4297495.844753102,3854229.3245397764,41.002127275915726,35.78175907444994,7.957362502813339,13.239811480045319,-2693900.154489586,-4297495.844753102,3854229.3245397764,541.0021272759158,35.78175907444994,7.957362502813339,13.239811480045319,0.0,0.0,0.0,0.0,500.00000000000006,0.0,0.0,7,True,True
8.0,1000.0,-2693900.154489586,-4297495.844753102,3854229.3245397764,41.002127275915726,35.78175907444994,7.957362502813339,13.239811480045319,-2693900.154489586,-4297495.844753102,3854229.3245397764,1041.0021272759159,35.78175907444994,7.957362502813339,13.239811480045319,0.0,0.0,0.0,0.0,1000.0000000000001,0.0,0.0,7,True,True
9.0,0.0,-2693905.218161818,-4297493.816762324,3854212.4985544975,33.696342789028144,29.42670653709682,5.31835907005838,11.802870281040668,-2693905.218161818,-4297493.816762324,3854212.4985544975,33.696342789028144,29.42670653709682,5.31835907005838,11.802870281040668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
9.0,10.0,-2693905.218161818,-4297493.816762324,3854212.4985544975,33.696342789028144,29.42670653709682,5.31835907005838,11.802870281040668,-2693905.218161818,-4297493.816762324,3854212.4985544975,43.69634278902814,29.42670653709682,5.31835907005838,11.802870281040668,0.0,0.0,0.0,0.0,9.999999999999993,0.0,0.0,7,True,True
9.0,50.0,-2693905.218161818,-4297493.816762324,3854212.4985544975,33.696342789028144,29.42670653709682,5.31835907005838,11.802870281040668,-2693905.218161818,-4297493.816762324,3854212.4985544975,83.69634278902817,29.42670653709682,5.31835907005838,11.802870281040668,0.0,0.0,0.0,0.0,50.00000000000002,0.0,0.0,7,True,True
9.0,100.0,-2693905.218161818,-4297493.816762324,3854212.4985544975,33.696342789028144,29.42670653709682,5.31835907005838,11.802870281040668,-2693905.218161818,-4297493.816762324,3854212.4985544975,133.69634278902817,29.42670653709682,5.31835907005838,11.802870281040668,0.0,0.0,0.0,0.0,100.00000000000003,0.0,0.0,7,True,True
9.0,500.0,-2693905.218161818,-4297493.816762324,3854212.4985544975,33.696342789028144,29.42670653709682,5.31835907005838,11.802870281040668,-2693905.218161818,-4297493.816762324,3854212.4985544975,533.6963427890283,29.42670653709682,5.31835907005838,11.802870281040668,0.0,0.0,0.0,0.0,500.00000000000017,0.0,0.0,7,True,True
9.0,1000.0,-2693905.218161818,-4297493.816762324,3854212.4985544975,33.696342789028144,29.42670653709682,5.31835907005838,11.802870281040668,-2693905.218161818,-4297493.816762324,3854212.4985544975,1033.6963427890282,29.42670653709682,5.31835907005838,11.802870281040668,0.0,0.0,0.0,0.0,1000.0000000000001,0.0,0.0,7,True,True
10.0,0.0,-2693897.4726742157,-4297482.568520624,3854216.8808783535,28.124763353463663,29.91259985933083,7.21944469000612,12.88599343970418,-2693897.4726742157,-4297482.568520624,3854216.8808783535,28.124763353463663,29.91259985933083,7.21944469000612,12.88599343970418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
10.0,10.0,-2693897.4726742157,-4297482.568520624,3854216.8808783535,28.124763353463663,29.91259985933083,7.21944469000612,12.88599343970418,-2693897.4726742157,-4297482.568520624,3854216.8808783535,38.124763353463656,29.91259985933083,7.21944469000612,12.88599343970418,0.0,0.0,0.0,0.0,9.999999999999993,0.0,0.0,7,True,True
10.0,50.0,-2693897.4726742157,-4297482.568520624,3854216.8808783535,28.124763353463663,29.91259985933083,7.21944469000612,12.88599343970418,-2693897.4726742157,-4297482.568520624,3854216.8808783535,78.12476335346366,29.91259985933083,7.21944469000612,12.88599343970418,0.0,0.0,0.0,0.0,50.0,0.0,0.0,7,True,True
10.0,100.0,-2693897.4726742157,-4297482.568520624,3854216.8808783535,28.124763353463663,29.91259985933083,7.21944469000612,12.88599343970418,-2693897.4726742157,-4297482.568520624,3854216.8808783535,128.1247633534637,29.91259985933083,7.21944469000612,12.88599343970418,0.0,0.0,0.0,0.0,100.00000000000003,0.0,0.0,7,True,True
10.0,500.0,-2693897.4726742157,-4297482.568520624,3854216.8808783535,28.124763353463663,29.91259985933083,7.21944469000612,12.88599343970418,-2693897.4726742157,-4297482.568520624,3854216.8808783535,528.1247633534635,29.91259985933083,7.21944469000612,12.88599343970418,0.0,0.0,0.0,0.0,499.9999999999999,0.0,0.0,7,True,True
10.0,1000.0,-2693897.4726742157,-4297482.568520624,3854216.8808783535,28.124763353463663,29.91259985933083,7.21944469000612,12.88599343970418,-2693897.4726742157,-4297482.568520624,3854216.8808783535,1028.1247633534635,29.91259985933083,7.21944469000612,12.88599343970418,0.0,0.0,0.0,0.0,999.9999999999999,0.0,0.0,7,True,True
11.0,0.0,-2693896.6459860164,-4297474.593992109,3854206.9321198533,15.619732399095309,31.482337119188408,6.851103863545826,12.033064600080252,-2693896.6459860164,-4297474.593992109,3854206.9321198533,15.619732399095309,31.482337119188408,6.851103863545826,12.033064600080252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,True,True
11.0,10.0,-2693896.6459860164,-4297474.593992109,3854206.9321198533,15.619732399095309,31.482337119188408,6.851103863545826,12.033064600080252,-2693896.6459860164,-4297474.593992109,3854206.9321198533,25.619732399095284,31.482337119188408,6.851103863545826,12.033064600080252,0.0,0.0,0.0,0.0,9.999999999999975,0.0,0.0,7,True,True
11.0,50.0,-2693896.6459860164,-4297474.593992109,3854206.9321198533,15.619732399095309,31.482337119188408,6.851103863545826,12.033064600080252,-2693896.6459860164,-4297474.593992109,3854206.9321198533,65.61973239909524,31.482337119188408,6.851103863545826,12.033064600080252,0.0,0.0,0.0,0.0,49.99999999999993,0.0,0.0,7,True,True
11.0,100.0,-2693896.6459860164,-4297474.593992109,3854206.9321198533,15.619732399095309,31.482337119188408,6.851103863545826,12.033064600080252,-2693896.6459860164,-4297474.593992109,3854206.9321198533,115.6197323990952,31.482337119188408,6.851103863545826,12.033064600080252,0.0,0.0,0.0,0.0,99.99999999999989,0.0,0.0,7,True,True
11.0,500.0,-2693896.6459860164,-4297474.593992109,3854206.9321198533,15.619732399095309,31.482337119188408,6.851103863545826,12.033064600080252,-2693896.6459860164,-4297474.593992109,3854206.9321198533,515.619732399095,31.482337119188408,6.851103863545826,12.033064600080252,0.0,0.0,0.0,0.0,499.9999999999997,0.0,0.0,7,True,True
