t,satellite_count,mean_cn0_db_hz,median_cn0_db_hz,min_cn0_db_hz,mean_elevation_deg,median_elevation_deg,min_elevation_deg,weak_signal_count,very_weak_signal_count,low_elevation_count,very_low_elevation_count,position_error_m
0.0,7,32.042857142857144,32.1,21.5,43.77630075082897,47.34786011808507,19.83588279701088,0,0,0,0,38.4686594697414
1.0,7,31.214285714285715,31.3,16.3,37.651374963820096,34.05333459717679,4.479928644394804,1,0,1,1,38.36130473526967
2.0,6,34.63333333333333,33.95,29.4,43.17887587354098,44.699501058781934,19.82595360230115,0,0,0,0,37.97122596488332
3.0,8,30.400000000000002,31.65,16.7,38.86631757622041,40.70689969149692,4.490740980238545,1,0,1,1,47.38046034627658
4.0,7,33.18571428571429,33.2,23.3,43.77737885451802,47.381125294193886,19.81604053521588,0,0,0,0,32.781938017607246
5.0,7,31.28571428571429,31.2,22.8,43.77764902001561,47.3893990887072,19.81108216548313,0,0,0,0,38.511595757162524
6.0,8,30.174999999999997,30.549999999999997,15.5,38.86904691087308,40.71003773780487,4.506936101195588,1,0,1,1,52.64446504792965
7.0,7,32.614285714285714,32.0,24.8,43.77818487158316,47.40594763776239,19.8011579309702,0,0,0,0,32.342932518895246
8.0,7,33.72857142857143,33.9,25.5,43.778456348828186,47.41427886454836,19.79620257560105,0,0,0,0,35.78175907468631
9.0,7,33.75714285714286,32.5,25.3,43.77872505868307,47.4225509602581,19.79124588986979,0,0,0,0,29.426706537643977
10.0,7,33.1,31.4,26.8,43.77900104699948,47.4308246358148,19.78630382860214,0,0,0,0,29.912599855540016
11.0,7,32.9,33.3,27.3,43.77927583334015,47.43917346760588,19.78135771261704,0,0,0,0,31.482337119590536
12.0,7,32.57142857142857,33.4,27.1,43.77954027763415,47.44742052879317,19.77639428761904,0,0,0,0,33.122333577009066
13.0,7,33.22857142857143,32.8,27.5,43.779811377096266,47.45569347130674,19.77144520905884,0,0,0,0,28.82802169896711
14.0,7,32.94285714285714,31.9,28.2,43.78007914717394,47.4639132047517,19.766482816294875,0,0,0,0,35.069804149822936
15.0,7,33.0,31.4,27.5,43.780350650946176,47.47224907756667,19.761541099043523,0,0,0,0,34.31029782907472
