t,Svid,satellite_id,x,y,z,solved_x,solved_y,solved_z,pseudorange_m,predicted_range_m,residual_m,abs_residual_m,cn0_db_hz,elevation_deg,azimuth_deg
0.0,12,GPS_12_GPS_L1,-17299389.098179553,1645021.9063480264,19801608.89639306,-2693895.8551825406,-4297490.883263739,3854201.517656923,22426647.752159774,22426629.109817166,18.64234260842204,18.64234260842204,32.1,31.90286109644406,305.33703020486666
0.0,17,GPS_17_GPS_L1,7916963.918272924,-13889628.07551267,21622674.863336142,-2693895.8551825406,-4297490.883263739,3854201.517656923,22810495.948811192,22810481.93447419,14.014337003231049,14.014337003231049,26.6,34.05961026024057,48.18894292243454
0.0,19,GPS_19_GPS_L1,-848326.9992636594,-14729025.196309676,21786978.32766514,-2693895.8551825406,-4297490.883263739,3854201.517656923,20828052.527022984,20828046.395275794,6.13174718990922,6.13174718990922,28.7,55.36660632230473,36.88225177666575
0.0,24,GPS_24_GPS_L1,-19547483.25321778,-9149481.212522868,15516045.016133947,-2693895.8551825406,-4297490.883263739,3854201.517656923,21061447.931125265,21061429.48903059,18.442094676196575,18.442094676196575,39.7,55.99939163214868,276.46141756293184
0.0,28,GPS_28_GPS_L1,11666514.849307949,-23288824.85663793,6148973.66115546,-2693895.8551825406,-4297490.883263739,3854201.517656923,23919845.95388124,23919827.358918346,18.594962894916534,18.594962894916534,36.0,19.83588279701088,98.48535600249916
0.0,2,GPS_2_GPS_L1,-13523197.719920184,-22858711.072583992,1897881.040878869,-2693895.8551825406,-4297490.883263739,3854201.517656923,21578231.197676346,21578226.609290697,4.58838564902544,4.58838564902544,21.5,47.34786011808507,177.3225733038114
0.0,6,GPS_6_GPS_L1,-5063528.338146372,-23693516.13328869,10879946.671051417,-2693895.8551825406,-4297490.883263739,3854201.517656923,20764953.071959257,20764923.514532123,29.557427134364843,29.557427134364843,39.7,61.92189302956885,121.93693948808784
1.0,12,GPS_12_GPS_L1,-17298026.730984792,1642843.8056780037,19802979.116932563,-2693888.510875206,-4297477.185162242,3854211.002778468,22426144.998236045,22426133.66109596,11.337140087038279,11.337140087038279,31.3,31.908805643530293,305.34211281046703
1.0,17,GPS_17_GPS_L1,7919596.396369123,-13889405.44346457,21621832.94782639,-2693888.510875206,-4297477.185162242,3854211.002778468,22810965.42701319,22810952.17589284,13.25112034752965,13.25112034752965,25.3,34.05333459717679,48.19247452373235
1.0,19,GPS_19_GPS_L1,-845509.4454975971,-14728731.8564992,21787280.15177619,-2693888.510875206,-4297477.185162242,3854211.002778468,20828420.373133745,20828407.243242323,13.12989142164588,13.12989142164588,30.3,55.35922756270836,36.887038691765866
1.0,24,GPS_24_GPS_L1,-19548380.66396089,-9151280.867867436,15513916.808026826,-2693888.510875206,-4297477.185162242,3854211.002778468,21061399.664623726,21061387.78413264,11.880491085350513,11.880491085350513,39.3,56.00105242085875,276.4476322486955
