satellite_id,observations,mean_residual_m,median_residual_m,mean_abs_residual_m,median_abs_residual_m,mad_abs_residual_m,p95_abs_residual_m,p99_abs_residual_m,max_abs_residual_m,mean_cn0_db_hz,mean_elevation_deg,outlier_20m_count,outlier_50m_count,outlier_rate_20m_pct,outlier_rate_50m_pct
GPS_29_GPS_L1,240,5.196502449068551,5.064094027504325,5.704591971868649,5.1774211544543505,1.578329062089324,10.8637435823679,13.806127726957191,17.710304375737906,29.202916666666667,4.537947169753708,0,0,0.0,0.0
GPS_5_GPS_L1,103,0.7800477387618672,2.0705471634864807,5.610222174740821,3.811212781816721,1.7633954472839832,19.074083095043854,24.898288723900915,25.88757648319006,25.475728155339805,4.156856475382717,5,0,4.854368932038835,0.0
GPS_12_GPS_L1,3343,-1.9569631076607026,-0.7126520276069641,4.04818710946427,2.05645975843072,1.3937142789363866,17.85527839213609,29.916118611618874,65.32556505128741,37.484863894705356,42.62269854795874,136,2,4.068202213580617,0.05982650314089141
GPS_17_GPS_L1,3300,-2.4055716368691487,-2.0412313360720873,3.8390943770607313,2.617702227085829,1.5990576464682817,11.225130596011871,21.898335727788346,70.34000147879124,32.70963636363636,24.26732070443661,44,2,1.3333333333333335,0.06060606060606061
GPS_25_GPS_L1,2616,2.6700081913532627,1.5036201160401106,3.828802400893768,2.062379961833358,1.2544450107961893,16.189730753190815,25.878169943019746,45.83932491764426,31.435282874617737,15.842337875295703,79,0,3.0198776758409784,0.0
GPS_6_GPS_L1,3346,1.9507861501591262,1.1506710089743137,3.560224985497855,2.1909393332898617,1.4728944897651672,12.464245940558612,20.464241714216776,39.08804739639163,37.1930364614465,63.594294284267654,44,0,1.315002988643156,0.0
GPS_19_GPS_L1,3358,2.3311100539858405,1.7884777951985598,3.4677252520625705,2.3604764118790627,1.4624191839247942,11.124225353822107,19.39079542729997,44.96352322027087,37.629064919594995,43.79665826647537,29,0,0.8636092912447886,0.0
GPS_24_GPS_L1,3359,-2.346520748899944,-1.816792082041502,3.3379140424831313,2.3059820160269737,1.535195428878069,9.877299726754426,16.14668796338141,38.99348138645291,38.421941053885085,54.30593423603622,12,0,0.3572491813039595,0.0
GPS_28_GPS_L1,2303,-0.9369505757803225,-0.0381331741809845,3.2932894537116177,1.7831161133944988,1.228189554065466,11.756176017224789,19.10541123583913,71.85920818150043,31.596048632218842,13.246433197035289,16,3,0.6947459834997829,0.13026487190620928
GPS_2_GPS_L1,3343,0.4835160123733143,0.3827167153358459,2.324155332837638,1.6289419643580914,1.0713095143437386,6.7977980036288415,11.844796388298262,29.660181503742933,34.91606341609333,61.12956969061715,5,0,0.14956625785222855,0.0
