t,satellite_id,Svid,residual_m,abs_residual_m,cn0_db_hz,elevation_deg
0.0,GPS_12_GPS_L1,12,2.932157300412655,2.932157300412655,32.1,31.90286109644406
0.0,GPS_17_GPS_L1,17,-1.6958483047783375,1.6958483047783375,26.6,34.05961026024057
0.0,GPS_19_GPS_L1,19,-9.578438118100166,9.578438118100166,28.7,55.36660632230473
0.0,GPS_24_GPS_L1,24,2.731909368187189,2.731909368187189,39.7,55.99939163214868
0.0,GPS_28_GPS_L1,28,2.8847775869071484,2.8847775869071484,36.0,19.83588279701088
0.0,GPS_2_GPS_L1,2,-11.121799658983946,11.121799658983946,21.5,47.34786011808507
0.0,GPS_6_GPS_L1,6,13.847241826355457,13.847241826355457,39.7,61.92189302956885
1.0,GPS_12_GPS_L1,12,-1.5131935067474842,1.5131935067474842,31.3,31.908805643530293
1.0,GPS_17_GPS_L1,17,0.40078675374388695,0.40078675374388695,25.3,34.05333459717679
1.0,GPS_19_GPS_L1,19,0.27955782786011696,0.27955782786011696,30.3,55.35922756270836
1.0,GPS_24_GPS_L1,24,-0.9698425084352493,0.9698425084352493,39.3,56.00105242085875
1.0,GPS_25_GPS_L1,25,1.4887295588850975,1.4887295588850975,16.3,4.479928644394804
1.0,GPS_28_GPS_L1,28,-1.3922648467123508,1.3922648467123508,35.9,19.830908491415187
1.0,GPS_6_GPS_L1,6,1.7062267065048218,1.7062267065048218,40.1,61.926367386656445
2.0,GPS_12_GPS_L1,12,3.015372861176729,3.015372861176729,32.0,31.91476133117374
2.0,GPS_17_GPS_L1,17,-0.9971504993736744,0.9971504993736744,29.4,34.047104113860414
2.0,GPS_19_GPS_L1,19,-0.02553536742925644,0.02553536742925644,31.5,55.35189800370345
2.0,GPS_24_GPS_L1,24,-4.204764377325773,4.204764377325773,39.2,56.00269809028123
2.0,GPS_28_GPS_L1,28,-0.9559922367334366,0.9559922367334366,35.9,19.82595360230115
2.0,GPS_6_GPS_L1,6,3.1680696196854115,3.1680696196854115,39.8,61.93084009992588
3.0,GPS_12_GPS_L1,12,-1.1312147751450539,1.1312147751450539,30.8,31.920739457577103
3.0,GPS_17_GPS_L1,17,-18.362470388412476,18.362470388412476,27.3,34.04094855056827
3.0,GPS_19_GPS_L1,19,4.217139273881912,4.217139273881912,32.5,55.34466071865128
3.0,GPS_24_GPS_L1,24,-3.439394176006317,3.439394176006317,39.4,56.004316830050136
3.0,GPS_25_GPS_L1,25,7.540680631995201,7.540680631995201,16.7,4.490740980238545
3.0,GPS_28_GPS_L1,28,5.223090913146734,5.223090913146734,35.7,19.821004180592016
3.0,GPS_2_GPS_L1,2,-18.043692775070667,18.043692775070667,21.6,47.37285083242558
3.0,GPS_6_GPS_L1,6,23.995861288160086,23.995861288160086,39.2,61.93527905966033
4.0,GPS_12_GPS_L1,12,2.3589514642953873,2.3589514642953873,33.2,31.926695101703626
4.0,GPS_17_GPS_L1,17,9.37056853249669,9.37056853249669,27.6,34.03475699998883
4.0,GPS_19_GPS_L1,19,-6.190311565995216,6.190311565995216,32.5,55.33738480084187
4.0,GPS_24_GPS_L1,24,-6.155111450701952,6.155111450701952,39.5,56.00592938824306
4.0,GPS_28_GPS_L1,28,-7.197000157088041,7.197000157088041,37.5,19.81604053521588
