satellite_id,observations,abnormal_epochs_20m,abnormal_epochs_50m,outlier_rate_20m_pct,outlier_rate_50m_pct,number_of_20m_runs,number_of_50m_runs,longest_20m_run_epochs,longest_50m_run_epochs,max_abs_residual_m,median_abs_residual_m,p95_abs_residual_m
GPS_25_GPS_L1,2616,79,0,3.0198776758409784,0.0,36,0,19,0,45.83932491764426,2.062379961833358,16.189730753190815
GPS_12_GPS_L1,3343,136,2,4.068202213580617,0.05982650314089141,76,2,15,1,65.32556505128741,2.05645975843072,17.85527839213609
GPS_17_GPS_L1,3300,44,2,1.3333333333333335,0.06060606060606061,29,2,9,1,70.34000147879124,2.617702227085829,11.225130596011871
GPS_6_GPS_L1,3346,44,0,1.315002988643156,0.0,35,0,7,0,39.08804739639163,2.1909393332898617,12.464245940558612
GPS_24_GPS_L1,3359,12,0,0.3572491813039595,0.0,8,0,4,0,38.99348138645291,2.3059820160269737,9.877299726754426
GPS_19_GPS_L1,3358,29,0,0.8636092912447886,0.0,19,0,4,0,44.96352322027087,2.3604764118790627,11.124225353822107
GPS_5_GPS_L1,103,5,0,4.854368932038835,0.0,4,0,2,0,25.88757648319006,3.811212781816721,19.074083095043854
GPS_28_GPS_L1,2303,16,3,0.6947459834997829,0.13026487190620928,16,3,1,1,71.85920818150043,1.7831161133944988,11.756176017224789
GPS_2_GPS_L1,3343,5,0,0.14956625785222855,0.0,5,0,1,0,29.660181503742933,1.6289419643580914,6.7977980036288415
GPS_29_GPS_L1,240,0,0,0.0,0.0,0,0,0,0,17.710304375737906,5.1774211544543505,10.8637435823679
