t,attack_configuration,attack_bias_m,n_attacked_satellites,attack_fraction,clean_position_error_m,attack_position_error_m,delta_position_m,clean_clock_bias_m,attack_clock_bias_m,delta_clock_bias_m,clean_mean_abs_residual_m,attack_mean_abs_residual_m,delta_mean_abs_residual_m,clean_max_abs_residual_m,attack_max_abs_residual_m,n_abnormal_20m,n_abnormal_50m,sign_consistency,clean_converged,attack_converged,time_minutes,temporal_attack_bias_m,attack_active,attack_phase
0.0,3_satellites,20.0,3,0.4285714285714285,38.4686594697414,70.16079770283721,49.188434975453625,15.710185307576896,-9.32333788522649,-25.033523192803383,6.398881737674985,10.152868550270796,4.494625040995223,13.847241826355456,18.444343853741884,0,0,0.5714285714285714,True,True,0.0,20.0,True,20m
1.0,3_satellites,20.0,3,0.4285714285714285,38.36130473526967,61.98968613244975,31.251354565174488,12.85033359407152,6.016085955546765,-6.834247638524755,1.1072288155555725,4.336441785097122,3.394033706613949,1.7062267065048218,9.200319338589908,0,0,0.5714285714285714,True,True,0.016666666666666666,20.0,True,20m
2.0,3_satellites,20.0,3,0.5,37.97122596488332,71.61660228567756,46.94785129491533,15.403249419022634,-4.124416939371464,-19.5276663583941,2.0611474936207137,2.312643710523844,2.277515012770891,4.204764377325773,4.290712106972933,0,0,0.5,True,True,0.03333333333333333,20.0,True,20m
3.0,3_satellites,20.0,3,0.375,47.38046034627658,56.79316789903341,31.10296027442866,23.295688587397912,11.92985400895389,-11.36583457844402,10.244193027727306,15.316292406991124,5.589332152158022,23.99586128816009,30.06450482830405,3,0,0.625,True,True,0.05,20.0,True,20m
4.0,3_satellites,20.0,3,0.4285714285714285,32.781938017607246,68.44116474362444,49.17235077123002,19.830724995333384,-5.194483430651427,-25.02520842598481,5.58354947875653,2.300549973334585,3.871119863752808,9.37056853249669,4.80554374307394,0,0,0.5714285714285714,True,True,0.06666666666666667,20.0,True,20m
5.0,3_satellites,20.0,3,0.4285714285714285,38.511595757162524,75.30365227229635,49.16829995190784,14.298298604299266,-10.724815253668906,-25.02311385796817,3.5861508920788765,5.787473703069346,4.268547433827605,6.777882311493158,12.964557528495789,0,0,0.5714285714285714,True,True,0.08333333333333333,20.0,True,20m
6.0,3_satellites,20.0,3,0.375,52.64446504792965,50.34676270297691,31.10167481770921,43.96134512648761,32.5944740735217,-11.366871052965903,7.620859134476632,11.60213958611712,5.933351477608085,13.221628151834013,19.285675171762705,0,0,0.625,True,True,0.1,20.0,True,20m
7.0,3_satellites,20.0,3,0.4285714285714285,32.342932518895246,57.27066867776677,49.16014061592234,28.88427033670112,3.865422991934252,-25.018847344766865,2.9664595249508108,3.728632282997881,2.7361197381147315,6.119929015636444,6.56053476780653,0,0,0.5714285714285714,True,True,0.11666666666666667,20.0,True,20m
8.0,3_satellites,20.0,3,0.4285714285714285,35.78175907468631,48.76626244710021,49.15604337816311,41.00212727601407,15.98542912985329,-25.01669814616078,7.957362502281155,3.452066457165139,4.505296045116016,13.239811476320028,6.050403784960508,0,0,0.5714285714285714,True,True,0.13333333333333333,20.0,True,20m
9.0,3_satellites,20.0,3,0.4285714285714285,29.426706537643977,55.40071146933946,49.15198953167357,33.69634278060759,8.681737850265765,-25.01460493034182,5.318359069526196,2.453003950417042,3.628985788140978,11.802870281040668,5.322626776993275,0,0,0.5714285714285714,True,True,0.15,20.0,True,20m
10.0,3_satellites,20.0,3,0.4285714285714285,29.912599855540016,61.34951777443567,49.1479153179141,28.12476335778268,3.112272390613095,-25.01249096716958,7.219444690538304,3.1104743821280345,4.507973933326347,12.88599343970418,5.540055654942989,0,0,0.5714285714285714,True,True,0.16666666666666666,20.0,True,20m
11.0,3_satellites,20.0,3,0.4285714285714285,31.482337119590536,71.17892101900647,49.14384610088774,15.619732399221848,-9.390654034951089,-25.010386434172936,6.851103861417089,3.0000298289316043,4.250639554645334,12.033064600080252,5.024806678295136,0,0,0.5714285714285714,True,True,0.18333333333333332,20.0,True,20m
12.0,3_satellites,20.0,3,0.4285714285714285,33.122333577009066,78.02728242099855,49.13978184569277,13.470848739163712,-11.537432472774578,-25.00828121193829,9.523420747901712,5.369692607117551,4.510653992316553,16.889077454805374,9.701670825481417,0,0,0.7142857142857143,True,True,0.2,20.0,True,20m
13.0,3_satellites,20.0,3,0.4285714285714285,28.82802169896711,69.39202414198016,49.135628019959405,16.445482309196212,-8.560609590239178,-25.00609189943539,7.786496146981205,3.3186130858957767,4.467883061085429,13.40786350890994,6.054866999387741,0,0,0.5714285714285714,True,True,0.21666666666666667,20.0,True,20m
14.0,3_satellites,20.0,3,0.4285714285714285,35.069804149822936,74.89476478071333,49.13149070221948,15.001253586478198,-10.002675490422403,-25.003929076900604,2.8944181970187595,4.36169896753771,3.234058532863856,5.288007166236639,10.567194916307926,0,0,0.7142857142857143,True,True,0.23333333333333334,20.0,True,20m
15.0,3_satellites,20.0,3,0.4285714285714285,34.31029782907472,75.01768930322106,49.12737093304097,18.83659636392764,-6.165177524514068,-25.001773888441708,6.10737658398492,2.274640439344304,4.234552904431309,10.471646845340729,3.9409351274371143,0,0,0.5714285714285714,True,True,0.25,20.0,True,20m
16.0,3_satellites,20.0,3,0.4285714285714285,33.79191596457942,79.32270370847456,49.12325557347023,8.870532144061285,-16.129096508594717,-24.999628652656,3.620509961353881,1.0866418560700757,2.5621227004698346,6.512759145349264,2.0121133364737034,0,0,0.5714285714285714,True,True,0.26666666666666666,20.0,True,20m
17.0,3_satellites,20.0,3,0.4285714285714285,46.559075918099,91.0918747927898,49.11912665008834,4.940739169417056,-20.05673646353358,-24.99747563295064,5.095547211489508,1.369052101458822,4.087487615112748,9.592875320464373,2.40799131989479,0,0,0.5714285714285714,True,True,0.2833333333333333,20.0,True,20m
18.0,3_satellites,20.0,3,0.4285714285714285,48.142130400987895,92.36946905224865,49.11496561331752,5.136105904739691,-19.85918431145294,-24.99529021619263,4.390408516994545,2.738906737949167,3.265969408409936,7.802788861095905,5.191287130117416,0,0,0.5714285714285714,True,True,0.3,20.0,True,20m
19.0,3_satellites,20.0,3,0.375,32.99354360297623,46.57089912639072,31.09594383765422,40.71336301504813,29.342054448521488,-11.371308566526643,5.597270348109305,6.947128912433982,4.690898686647415,8.933233838528395,15.574269723147154,0,0,0.625,True,True,0.31666666666666665,20.0,True,20m
20.0,3_satellites,20.0,3,0.375,34.15304289642992,57.57271405293765,31.095499565004708,23.59100663133625,12.21934921545364,-11.371657415882606,2.5248991665430367,6.8649893421679735,4.751989475917071,5.331812988966703,11.405641715973616,0,0,0.625,True,True,0.3333333333333333,20.0,True,20m
21.0,3_satellites,20.0,3,0.4285714285714285,38.896352519796665,72.40719323353002,49.10234968349363,27.41108660789924,2.4224796405776465,-24.988606967321594,3.041107604014022,5.888643187071596,3.508102297250713,6.3307741060853004,13.513622537255287,0,0,0.7142857142857143,True,True,0.35,20.0,True,20m
22.0,3_satellites,20.0,3,0.4285714285714285,35.70423837656613,70.06775635000504,49.098168762076746,28.33586716251789,3.349464261843476,-24.986402900674413,1.7629400709910052,3.454242398164102,2.271391148013728,3.2199364863336086,5.711549106985331,0,0,0.5714285714285714,True,True,0.36666666666666664,20.0,True,20m
23.0,3_satellites,20.0,3,0.4285714285714285,38.833795735374,68.01924271911774,49.09395148170857,36.917675537250126,11.933507450695243,-24.98416808655488,4.47326734662056,4.554454541099923,3.5978826470673084,8.312183894217014,9.734397366642952,0,0,0.5714285714285714,True,True,0.38333333333333336,20.0,True,20m
24.0,3_satellites,20.0,3,0.4285714285714285,32.10838259354953,73.71804022189127,49.08978087783945,23.38071487356359,-1.6012710815648243,-24.981985955128412,2.828340292509113,6.77594602267657,4.526811315545014,4.4433462880551815,11.100123327225448,0,0,0.5714285714285714,True,True,0.4,20.0,True,20m
25.0,3_satellites,20.0,3,0.4285714285714285,30.20657577892218,67.6789340640805,49.08553957910176,30.10255169279483,5.122820821292152,-24.97973087150268,3.1171415033085004,7.121701545481171,4.473001627517598,5.8027247823774815,12.98352812230587,0,0,0.5714285714285714,True,True,0.4166666666666667,20.0,True,20m
26.0,3_satellites,20.0,3,0.4285714285714285,28.037893108887456,69.31816701497826,49.081329062596375,24.79959690082906,-0.1779121106223417,-24.9775090114514,4.0302595139614175,7.981451332569122,4.529515502176115,7.777633339166641,13.86501121520996,0,0,0.5714285714285714,True,True,0.43333333333333335,20.0,True,20m
27.0,3_satellites,20.0,3,0.375,47.65424752262516,38.80938151204215,31.092170440220507,60.21081359426016,48.8369864611686,-11.37382713309156,12.560172602999955,17.90602689096704,5.788310400210321,28.088827058672905,36.358193803578615,3,0,0.625,True,True,0.45,20.0,True,20m
