t,attack_bias_m,estimated_x_m,estimated_y_m,estimated_z_m,true_x_m,true_y_m,true_z_m,position_error_m,clock_bias_m,mean_abs_residual_m,max_abs_residual_m,n_satellites,converged,n_iterations
0.0,0.0,-2693895.8551825406,-4297490.883263739,3854201.517656923,-2693926.04767216,-4297473.816608274,3854218.1603911705,38.4686594697414,15.710185307576896,6.398881737674985,13.847241826355457,7,True,2
1.0,0.0,-2693888.5108752074,-4297477.185162245,3854211.0027784677,-2693926.04767216,-4297473.816608274,3854218.1603911705,38.36130473431672,12.850333590317302,1.1072288155555725,1.7062267139554024,7,True,2
2.0,0.0,-2693891.7093808046,-4297482.415723405,3854204.4217243083,-2693926.04767216,-4297473.816608274,3854218.1603911705,37.97122596635847,15.40324941997924,2.0611474936207137,4.204764377325773,6,True,2
3.0,0.0,-2693902.08816616,-4297511.452913182,3854202.21176591,-2693926.04767216,-4297473.816608274,3854218.1603911705,47.380460345491414,23.295688586061242,10.244193027727306,23.995861295610666,8,True,2
4.0,0.0,-2693899.7173517155,-4297485.319925899,3854202.3792831833,-2693926.04767216,-4297473.816608274,3854218.1603911705,32.78193802047669,19.83072499153406,5.583549476627793,9.37056852504611,7,True,2
5.0,0.0,-2693900.431294256,-4297486.534399346,3854192.3688813047,-2693926.04767216,-4297473.816608274,3854218.1603911705,38.51159575809379,14.298298605965641,3.5861508904823234,6.777882311493158,7,True,2
6.0,0.0,-2693911.438946865,-4297524.233203357,3854214.1364893354,-2693926.04767216,-4297473.816608274,3854218.1603911705,52.64446505053754,43.96134512504827,7.620859134476632,13.221628151834011,8,True,2
7.0,0.0,-2693909.0108892396,-4297498.439688735,3854205.932667751,-2693926.04767216,-4297473.816608274,3854218.1603911705,32.3429325148547,28.884270330621934,2.9664595254829953,6.119929015636444,7,True,2
8.0,0.0,-2693900.154489586,-4297495.844753102,3854229.3245397764,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.78175907444994,41.002127275915726,7.957362502813339,13.239811480045319,7,True,2
9.0,0.0,-2693905.218161818,-4297493.816762324,3854212.4985544975,-2693926.04767216,-4297473.816608274,3854218.1603911705,29.42670653709682,33.696342789028144,5.31835907005838,11.802870281040668,7,True,2
10.0,0.0,-2693897.4726742157,-4297482.568520624,3854216.8808783535,-2693926.04767216,-4297473.816608274,3854218.1603911705,29.91259985933083,28.124763353463663,7.21944469000612,12.88599343970418,7,True,2
